,Wish You Were Here by Pink Floyd,A-Punk by Vampire Weekend,I'm a Mess by Bebe Rexha,Fight Song by Rachel Platten,Good as Hell by Lizzo,Lemon by N.E.R.D
Not Dead Yet - Rock Mix by LEDGER,0.9600943821114637,0.9596682012498567,0.9656649246891701,0.9645674151907181,0.9495799978134803,0.9484932500888595
Anymore by Saudi,0.9607162953428865,0.9491301208215271,0.9661537536584734,0.9429881499789806,0.9510593899561458,0.9528189600435673
Jaded by With Confidence,0.9604113692911972,0.9542717912984952,0.9678701933315788,0.9499075879803461,0.9497251647017884,0.9511245577674482
Rubbin Off The Paint by YBN Nahmir,0.9577780897354881,0.9493245950975473,0.9674523369754006,0.9440803855551316,0.950514962705697,0.9550638492424589
Long Time Traveller by The Wailin' Jennys,0.9385723628284006,0.9243457656812061,0.9413124620482936,0.9122670998113711,0.9376293872804016,0.9274531009560244
Yes I am by Mamamoo,0.9632762612967286,0.9528315618964585,0.9677676886476274,0.9455172065968278,0.9512881186920545,0.952530187867389
Press Your Number by TAEMIN,0.9614692123925135,0.9536967518462849,0.9688855438706456,0.9500291312970145,0.9524958763225535,0.9560729967208192
F the NRA by The Coathangers,0.9674953990612213,0.9615046830500646,0.967939880540698,0.9494952887861338,0.9537485722149769,0.9511202076895209
PREY FOR ME/3 by FEVER 333,0.964474206584117,0.9545379376541777,0.9664496308901508,0.9418810215278641,0.9584342078371508,0.9509111843162956
Mississippi by Kevin Abstract,0.9619597740076983,0.948891112157443,0.9599303997642001,0.9402395008252803,0.9452131083864035,0.9439861406211212
"Back, Baby by Jessica Pratt",0.9670368419963286,0.9559403081130176,0.9647444533982797,0.9474998464754916,0.9498851382061815,0.9504595341190467
Daybreak by NU'EST,0.9582532738798171,0.9485305281118868,0.9639734460801064,0.9399644838523874,0.9442630849566283,0.9490805482509129
Souvenir by Julien Baker,0.9539993286137378,0.9496060804636395,0.9559135218942187,0.9510297412903843,0.932101846935047,0.9382379304230852
Punchclown - Bonus Track by Red Dragon Cartel,0.960301052199565,0.9529531347107962,0.9651558149474035,0.9438009693980739,0.9520457156191521,0.9512932176938523
Mission Temple Fireworks Stand by Paul Thorn,0.9625469129053627,0.9544929226657507,0.9645552468833072,0.9440285753823946,0.947630978078259,0.9510978491964112
Never Go Back by Dennis Lloyd,0.9534453936524746,0.9397922992864979,0.9578661524242187,0.9274253778607913,0.9524774865143568,0.9458936475312459
Me Gusta by Natti Natasha,0.958496814253484,0.9497043533541818,0.9632350169694754,0.9388717055559785,0.9488830200186071,0.9475927445950882
Thanks for the Memory (Reprise) by Jan Daley,0.9577231032300259,0.9401516271397031,0.9562308561834708,0.9299318880026357,0.9469745920134744,0.9420418145130002
Fortress by Lennon Stella,0.9587035732853281,0.9513797079880344,0.9638131030649714,0.9477067010131569,0.9459754560342016,0.9487784950103891
Brave Face by Trash Boat,0.9491159527196997,0.9438039105683664,0.947638629478435,0.910832894269872,0.9468103025930168,0.9285399039343969
Parking Lot Pirouette by Amanda Shires,0.9645233410145602,0.957092825787202,0.9647158943109895,0.9483636401036261,0.9479722126345038,0.9450151178944488
Amber by Stick To Your Guns,0.9694919966440706,0.960638939486892,0.9699977559970282,0.9474586682651318,0.9559683470720689,0.9533166178296465
Never Here by Thousand Below,0.9630222969074678,0.960017557481833,0.9653061965473472,0.9397507023046727,0.9567132724960989,0.9455916887809067
