,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
28,Chicken Huntin' - Slaughter House Mix,Insane Clown Posse,222066,41,1995,https://p.scdn.co/mp3-preview/abb8cab6f488b83e408e8012f39c9b5f12e55aa2?cid=80aa7a928c4541428fab1590b72d13b5,0Amrl67RD5PEDlE1vbk6tb,4xtWjIlVuZwTCeqVAsgEXy
29,Halls Of Illusions,Insane Clown Posse,260156,41,1997-01-01,,3EA2bm1FrvW2HM1anselr1,4xtWjIlVuZwTCeqVAsgEXy
30,Be My Baby,The Ronettes,160906,70,2011-02-22,https://p.scdn.co/mp3-preview/3853f673d763a993fae64d464254c9ef4236f1fd?cid=80aa7a928c4541428fab1590b72d13b5,2G2YzndIA6jeWFPBXhUjh5,7CyeXFnOrfC1N6z4naIpgo
31,"Baby, I Love You",The Ronettes,171480,49,2011-02-22,https://p.scdn.co/mp3-preview/9688d7c15b913b686962764c37f872dff49587bc?cid=80aa7a928c4541428fab1590b72d13b5,4V6ZLk1IHdG00qu3B4m8Y9,7CyeXFnOrfC1N6z4naIpgo
32,Sleigh Ride,The Ronettes,181266,45,1963,https://p.scdn.co/mp3-preview/02b0f46f82b95ad492c343766a9e1c4389a863bf?cid=80aa7a928c4541428fab1590b72d13b5,5ASM6Qjiav2xPe7gRkQMsQ,7CyeXFnOrfC1N6z4naIpgo
33,Walking In the Rain,The Ronettes,196720,41,2011-02-22,https://p.scdn.co/mp3-preview/f2d610b71ff9a028032b75bab981225bf6917d0f?cid=80aa7a928c4541428fab1590b72d13b5,6LHzCuLzfZQr0V8eZD9TPC,7CyeXFnOrfC1N6z4naIpgo
34,(The Best Part Of) Breakin' Up,The Ronettes,184346,37,2011-02-22,https://p.scdn.co/mp3-preview/9c3bd7d3c0d5e1194eacca3327bdeb1612ad3dda?cid=80aa7a928c4541428fab1590b72d13b5,3gBkaIy0nE5mDiYeC5iL97,7CyeXFnOrfC1N6z4naIpgo
35,Why Don't They Let Us Fall in Love,The Ronettes,159253,35,2011-02-22,https://p.scdn.co/mp3-preview/5bc59368716e3c51f867e3a70e37c241c26b9e2d?cid=80aa7a928c4541428fab1590b72d13b5,7c29IdDhQ6M9Eo3yFNGd1G,7CyeXFnOrfC1N6z4naIpgo
36,Do I Love You?,The Ronettes,176146,34,2011-02-22,https://p.scdn.co/mp3-preview/a586b6a95c5c527bd570ee78dea40626afd31042?cid=80aa7a928c4541428fab1590b72d13b5,1XQOj2js9ridhhuRVnpKB0,7CyeXFnOrfC1N6z4naIpgo
37,Frosty the Snowman,The Ronettes,136306,32,1963,https://p.scdn.co/mp3-preview/30acabd8b465680e7b78a19ee343339a2f081adb?cid=80aa7a928c4541428fab1590b72d13b5,7n5m8nDAnyXo81tr4B3Bcw,7CyeXFnOrfC1N6z4naIpgo
38,So Young,The Ronettes,155506,31,2011-02-22,https://p.scdn.co/mp3-preview/519daedd5bc0feec7f6e35ca773f414b877d8649?cid=80aa7a928c4541428fab1590b72d13b5,0s2rcQxNOk0z2YCLVdGeWG,7CyeXFnOrfC1N6z4naIpgo
39,I Can Hear Music,The Ronettes,196120,30,2011-02-22,https://p.scdn.co/mp3-preview/ed4d55fff17a19077ce3bbd310167f9b1258d83f?cid=80aa7a928c4541428fab1590b72d13b5,1Qf3si9AhOhAgYkF1md0FB,7CyeXFnOrfC1N6z4naIpgo
40,BLEACH,BROCKHAMPTON,273151,72,2017-12-15,https://p.scdn.co/mp3-preview/0275a1e91ff158f4dd33f8aaa9bc88a1a2c3c901?cid=80aa7a928c4541428fab1590b72d13b5,0dWOFwdXrbBUYqD9DLsoyK,1Bl6wpkWCQ4KVgnASpvzzA
41,1999 WILDFIRE,BROCKHAMPTON,251250,69,2018-07-07,https://p.scdn.co/mp3-preview/43b8aeb423c5f954404a3f54dba0126711ed8ddd?cid=80aa7a928c4541428fab1590b72d13b5,1t4pPnbkOjzoA5RvsDjvUU,1Bl6wpkWCQ4KVgnASpvzzA
42,SWEET,BROCKHAMPTON,274274,69,2017-08-25,https://p.scdn.co/mp3-preview/644f5d422d5d59244245c938d3402f23176e3ed3?cid=80aa7a928c4541428fab1590b72d13b5,2DgMxFMUQRPthW4ROhjen1,1Bl6wpkWCQ4KVgnASpvzzA
43,GOLD,BROCKHAMPTON,266000,68,2017-06-09,https://p.scdn.co/mp3-preview/fdf0d2d8f206ecb26aa68faf4fdf62bbebfdb632?cid=80aa7a928c4541428fab1590b72d13b5,7HRv1sYuwgoea1m0JRvChV,1Bl6wpkWCQ4KVgnASpvzzA
44,FACE,BROCKHAMPTON,259000,67,2017-06-09,https://p.scdn.co/mp3-preview/bc9bec2e866192321b14ebdc3a0439cbee2436c9?cid=80aa7a928c4541428fab1590b72d13b5,5bknBRjKJZ643DAN2w8Yoy,1Bl6wpkWCQ4KVgnASpvzzA
45,GUMMY,BROCKHAMPTON,261000,65,2017-08-25,https://p.scdn.co/mp3-preview/f0eac52cac9d587ad48ee16a4e1c6129c20337f1?cid=80aa7a928c4541428fab1590b72d13b5,42tBlHWL3VfDkUM2iWcc5p,1Bl6wpkWCQ4KVgnASpvzzA
46,RENTAL,BROCKHAMPTON,213658,65,2017-12-15,https://p.scdn.co/mp3-preview/b0676a91c11e7c5b23ddca8a9cebd15c7f86af5c?cid=80aa7a928c4541428fab1590b72d13b5,4O9tOyMOq8Oioun2MsULH5,1Bl6wpkWCQ4KVgnASpvzzA
47,BOOGIE,BROCKHAMPTON,193154,64,2017-12-15,https://p.scdn.co/mp3-preview/b14504eca0081c6ca2dac2480c6b6382495045b2?cid=80aa7a928c4541428fab1590b72d13b5,3NuN59jpH3B5cNa2M4r7XG,1Bl6wpkWCQ4KVgnASpvzzA
48,ZIPPER,BROCKHAMPTON,202086,63,2017-12-15,https://p.scdn.co/mp3-preview/957936e50e30976dd28c937f0a11420555cf35e8?cid=80aa7a928c4541428fab1590b72d13b5,1m4C9zlV89rXTfXStluvec,1Bl6wpkWCQ4KVgnASpvzzA
49,NEW ORLEANS,BROCKHAMPTON,243280,63,2018-09-21,https://p.scdn.co/mp3-preview/20d2d1b1258a54fee933ccdcae7a6d4cd83c25fc?cid=80aa7a928c4541428fab1590b72d13b5,5kkxyqYSQrnHpfsmkjKi81,1Bl6wpkWCQ4KVgnASpvzzA
