,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
24,Lies,Lexy Panterra,189196,35,12/21/18,https://p.scdn.co/mp3-preview/959fe27512dfd762ba8e15285da3bc835aeaaf1e?cid=80aa7a928c4541428fab1590b72d13b5,6E0q0NMSGTwu2oAEh4jxiF,5bB58D2RfSIIM2eBJy2Kww
25,Peace Sign,Lexy Panterra,192000,33,7/6/18,https://p.scdn.co/mp3-preview/b234862e390825541f2c9b9e579b1139319b958f?cid=80aa7a928c4541428fab1590b72d13b5,7Jz2HqSMXHskKzjvVwS2ve,5bB58D2RfSIIM2eBJy2Kww
26,Uncertainty,Kevin Courtois,229386,25,8/31/18,https://p.scdn.co/mp3-preview/00ecb0731501de7a4b29bc70c08eedd90126a869?cid=80aa7a928c4541428fab1590b72d13b5,74NV1AfCXNysbaTLhp79j6,1VbN1iTiu4spUr0HVK17Rv
27,Used to Know,Lexy Panterra,238604,24,1/27/16,https://p.scdn.co/mp3-preview/9bee8ad6ae260998004f138c02ba4c643d79c513?cid=80aa7a928c4541428fab1590b72d13b5,7wkTtinlI5FM2G2z6WD0X6,5bB58D2RfSIIM2eBJy2Kww
28,More Than You - Modern Machines Remix,HARBER,190458,18,3/22/19,https://p.scdn.co/mp3-preview/04f78e9efe797a7a5f9f0c42073e5f2ed4384e3d?cid=80aa7a928c4541428fab1590b72d13b5,3oARJZeel8UlhZAugoyYrN,31TGg0YIcWnprDAqruoJSd
29,More Than You - VIP Remix,HARBER,172225,18,3/22/19,https://p.scdn.co/mp3-preview/deb93c3ebbe70d7e98ced3a882282d0d60d1897b?cid=80aa7a928c4541428fab1590b72d13b5,6QYpAjPsfOwhe2gjZ0Ktu5,31TGg0YIcWnprDAqruoJSd
30,TerrorVision,Aborted,273480,36,9/21/18,https://p.scdn.co/mp3-preview/77f2a23dbbbccc7d02e48700ae7b42902ff402bb?cid=80aa7a928c4541428fab1590b72d13b5,352Xb6jVxDanrtT7hQyJDH,1XRhUgCyzIdeT8d9KMfeDR
31,Vespertine Decay,Aborted,360853,33,9/21/18,https://p.scdn.co/mp3-preview/edde4b805781eccadbe29d8e742fd1d307c75bff?cid=80aa7a928c4541428fab1590b72d13b5,3ngjjPA1gAzuPxwEdtPLQN,1XRhUgCyzIdeT8d9KMfeDR
32,Divine Impediment,Aborted,258680,32,4/22/16,https://p.scdn.co/mp3-preview/dcac4b12b483ecdc73bd68eeb0f531d211f40fc2?cid=80aa7a928c4541428fab1590b72d13b5,5iZAbb2ycSUrh52Irfxrv8,1XRhUgCyzIdeT8d9KMfeDR
33,Squalor Opera,Aborted,241733,32,9/21/18,https://p.scdn.co/mp3-preview/544666321b3696978d32dd121e14f240d2024bf7?cid=80aa7a928c4541428fab1590b72d13b5,2xjM014kDdBQlMWwQXNKHU,1XRhUgCyzIdeT8d9KMfeDR
34,The Extirpation Agenda,Aborted,191200,32,1/23/15,https://p.scdn.co/mp3-preview/21b71c5ff3498c73cb880f79f1cf574d6a54eafe?cid=80aa7a928c4541428fab1590b72d13b5,0lLn5uEjQDasaZZ0rOYSBv,1XRhUgCyzIdeT8d9KMfeDR
35,Farewell to the Flesh,Aborted,281960,30,9/21/18,https://p.scdn.co/mp3-preview/efa3619f3e954d5d88a49d1559751d9a90d3d909?cid=80aa7a928c4541428fab1590b72d13b5,1dFDTaielnBq2hUKzC3gv3,1XRhUgCyzIdeT8d9KMfeDR
36,Deep Red,Aborted,200400,29,9/21/18,https://p.scdn.co/mp3-preview/f6c3add9c5deaf4669cbfe4063992f8612704e95?cid=80aa7a928c4541428fab1590b72d13b5,1vPsRGbHac2ThVBkSfyvHw,1XRhUgCyzIdeT8d9KMfeDR
37,Retrogore,Aborted,257773,29,4/22/16,https://p.scdn.co/mp3-preview/08ff6300f4b95b3232e29e8f7143724f5312d2df?cid=80aa7a928c4541428fab1590b72d13b5,0dqyevakZlaiAPB0Qvxaks,1XRhUgCyzIdeT8d9KMfeDR
38,Bathos,Aborted,257811,28,6/30/17,https://p.scdn.co/mp3-preview/965f286d9c047349baf4fda3e771225cac6eb500?cid=80aa7a928c4541428fab1590b72d13b5,14DvEF6VbHSSlbNc2wXmCc,1XRhUgCyzIdeT8d9KMfeDR
39,Visceral Despondency,Aborted,212080,28,9/21/18,https://p.scdn.co/mp3-preview/aa608aa8510748157072daa2cf37b6d150ab2d0a?cid=80aa7a928c4541428fab1590b72d13b5,2Xu7fiQlx3LePYWUYb3r0q,1XRhUgCyzIdeT8d9KMfeDR
40,Secreto,Anuel Aa,258800,91,1/15/19,,5W83ErFkO3aKAIS1WMi6u0,2R21vXR83lH98kGeO99Y66
41,Créeme,Karol G,214293,65,5/3/19,,4EKZsrsCKyqr64FBHLc0DU,790FomKkXshlbRYZFtlgla
42,Punto G,Karol G,183160,68,5/3/19,,2E82gORVSA7UMEz5M1IP3b,790FomKkXshlbRYZFtlgla
43,Culpables,Karol G,228960,62,5/3/19,,4RGKft6YTTWHjpQeRIInuS,790FomKkXshlbRYZFtlgla
44,Ocean,Karol G,155946,75,5/3/19,,6qoIFQfdmaQF9A1gb67tR7,790FomKkXshlbRYZFtlgla
45,Mi Cama - Remix,Karol G,197053,57,5/3/19,,5yV2jwp1AZnulVkiWEorq7,790FomKkXshlbRYZFtlgla
46,Dices Que Te Vas,Karol G,202053,73,5/3/19,,0QHOIQxRlIPYPJ1HLgIN8S,790FomKkXshlbRYZFtlgla
47,Mi Cama,Karol G,149106,57,5/3/19,,3fFMAZtSAK5YQ3Zdl3EE4Q,790FomKkXshlbRYZFtlgla
48,Hijoepu*#,Gloria Trevi,188333,70,3/15/19,,7hvGyCjepdwN1wk3lK6J6k,1Db5GsIoVWYktPoD2nnPZZ
